,features,label
843,ration countri i'm sure it'd boost immun sure keep peopl distanc 😝 that idea keep everyth away 😏,NONE
3862,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser wonder investig agenc investig kind journalist,NONE
2467,#israel हव हमल जिहाद कमांडर अब हरबीद सफ अब हरबीद उत्तर गाज आतंकवाद संगठन के ऑपरेशन कमांडर था। मातम मन जिहादिय mdrchodo आतंकवादिय अब्ब हूर मिल पोहच गया। jai shree ram,HOF
5509,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon बस दिन जल्द ठीक हो वापस लौट 💐 सुधीर जी जल्द स्वास्थ जाइए सब श्र राम जी यह प्रर्थ कर हूं जी न्युज रात बज इंतजार कर हूं,NONE
1538,stop predict dear bot predict talk when see tweet know what come let tell modi team wonder job no matter much tweet we modi,NONE
211,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood wat oppress had done anyth wudnt lose chair be dalit doesnt qualifi mock there r ppl abus badmouth mock pm countri n noth happen tem,NONE
1340,modi coward psycopath dn't come wid accnt got hcked complaint such shame use derogatori term fr pm india,NONE
1108,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai basic charli hebdo hate word religion,NONE
4396,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। लोग के चेहर जोरदार तमाच काम लोग बदनाम कोशिश,NONE
4470,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। बेच रहिय जनाब के पकड़ के केजरीवाल जी दिल्ल ऑक्सिजन कम रौ,NONE
679,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। बन नह सनातन धर्म विश् सीख लोग दिन भर सनातन धर्म गाल दे पद बात आत sc st obc नह रिज़र्वेशन चाहिए। reserv ki neev sadiyon purani hai par uss problem aaj kyun hai ye vicharniya hai,NONE
2264,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र toolkit patra😂😂,HOF
2476,इनस ज़्याद नीच कायर कौम नह बच्च के छुप के लड़ कर जिस्द तुमहार अम्म तुम्हार साम बेजत करक निकाल तुम्हार के घर उसदिन तुम्ह सामझ आय गोडसेवाद,HOF
3800,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm bengal sambhal nhi raha gyan delhi ko,NONE
565,cow urin disgust camel urin wowww #pragyathakur pissful dicklick research holi camel urin watch molana saheb video whoever believ camel cow urinear biggest hole that,HOF
1873,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona sambit le loli pop tu acha kar ta he।।।।।।।sambit bsdk,HOF
5588,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon ईश्वर आपक शीघ्र स्वस्थ काम हूँ। isk baad tera number hai kauvv sari gandgi saaf hone ka waqt gaya tum sabka paap ka ghada bhar chuka,HOF
1532,stop predict dear bot she bais agenda clear defam countri possibl way,HOF
4409,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। लग रह भाई जान अल्लाह पनाह बॉल बाक नह पय अच्छ काम वाल अल्लाह हमेसाह देताह,NONE
680,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। बन नह सनातन धर्म विश् सीख लोग दिन भर सनातन धर्म गाल दे पद बात आत sc st obc नह रिज़र्वेशन चाहिए। kase vishwa karun sanatan dharmiyon ne saal tak gulam banan ke liy tarah tarah ka hathkanda apnaya janwaro ko rast par chalan aur talav kuon se pani pine se koe yetaraj nahi par bahujano ke saath kya kya hua aur hota hai sab janta hai ab bhi toa dharma ko manviy banao,HOF
180,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood bhai isn mjak bnaya galat baat h baki va ab bhi dalit hi hai sabs badi state ki cm rh chuki hai z secur hai or ab bhi dalit hai dalit ka mtlb bhi pata h ya nhi,NONE
4712,look insensit piec shit,NONE
2034,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् sambit sorri u miss she use far wors word includ gandi naali ka kida u i think u debat someon even basic manner pleas listen audio post she use phrase u extrem hurt watch believ,NONE
3539,agar pilot cockpit main cycl ka handl leke baitha ho toh hum kya karein gn cuti 😂😂😂,NONE
4890,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist is imag modi import india mr patra what wit second wave modiji overconfid imag import it obvious time u cannot call modi strain,NONE
278,chandrasekhar ravan prais rss now leftist toolkit gang say # मई भीमआर्म क्रांतिदिवस #आपद धर्म परिवर्तन खेल #नील बकलोल दिवस टूलकिट झूठ नि ट्विटर है😂😂😂 sonkar बात जैक डोरस फोन लग बत,NONE
3207,बि एम्बुलेंस चोर वाल भाजप चोर आजाद घूम है। चोर पर्दाफाश वाल पप्प यादव गिरफ्तार है। नीतीश सर शर्म करो। पप्प यादव तत् रिह करो। #releasepappuyadav कोर काल जिंदग बच के जान हथेल रख जूझ अपराध हां अपराध हूं। pm साहब cm साहब दे फांस भेज जेल झुक नह रुक नहीं। लोग बचाऊंगा। बेईमान बेनकाब रह पप्प यादव #releasepappuyadav,NONE
3567,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm koi sens hai iss baat ka yahan aa jaat hain propaganda failan,NONE
1204,charli hebdo publish do stand franc saar i like cartoon but hindu behead anybodi cartoon i proud fact yes lynch feasibl,HOF
5058,public fight covid pm fight elect they know,HOF
432,the us govt help privat funder like direct fund state run popul control program india hundr thousand men women steril includ mani tribal lower cast women #arrestbillg गरीब किस हूं मुझ न्याय नह मिलेगा। मेर पास कोर्ट कचहर के पैस नह न्याय नह मिलेगा। गरीब किस हूं मीड न्यूज नह दिख सकता। गरीब किस हूं सर नह सुनेगा। फांस लग लूं। 👇👇 👇,NONE
289,chandrasekhar ravan prais rss now leftist toolkit gang say # मई भीमआर्म क्रांतिदिवस #आपद धर्म परिवर्तन खेल #नील बकलोल दिवस भाई दिमाग़ कम तुमम रावण rss के उद्देश्य बात वो काम नफरत फैल सह दल एक नह कह उद्देश्य इत रावण आरक्षण दिमाग़ थोड़ ना मिल जाय,NONE
1027,this critic welcom i sure hindu go charli hebdo offic kill peopl that big differ nope onli muslim set hindu extremist ass fire charli hebdo franc new daddi mind 😂😂😂 ikram maamu ko abbu jaan banaan waal dusroo per majak karn ki koshish kar raha hai,HOF
535,proud son bharat retweet maximum repeat #नाथूराम गोडस अमर रह kitn retweet aye dekh le bhadw bhand mc sb ki gand fatti hai ki okat hai teri chutiy,HOF
1559,stop predict dear bot केंद्र सर राज् वैक्स नह दे ताक प्राइवेट अस्पताल देश जन लुट सक वैक्स केंद्र सर rs दे मुनाफ कम वह वैक्स rs ले के मुनाफ कम होग हिस्स देश लुट के,NONE
993,this critic welcom i sure hindu go charli hebdo offic kill peopl that big differ usk liy ga guda hona chahiy kashmir dikhaat wo guda ham,HOF
1187,charli hebdo publish do stand franc saar yes pertin question can't million god provid oxygen good still cant generat medic grade oxygen i afraid,NONE
188,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood abe ky h bhai tumh kuch problem jyda h ky dalit ka majak nd jab pm modi par krte ho tab kha jata h gya jab rahul gandhi ka majak udaya tab kh gye jb mon bhai ye tum kar rhe ho ucn nich ki baatain anyon want equal behav like,NONE
3619,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm dvl absolut correct pm escap account sinc champion caus hold elect ralli,NONE
5575,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon respect sir pleas take patanjali coronil kit medicin alongwith allopathi treatment it fasten recoveri my father grand mother amp whole famili save medicin drink swasari kadha papita patta gloy leav juic adrak haldi kali mirch tulsi honey,NONE
2370,wtf nonsens go countri that modi give ministri hell happen india onli hell happen hell peopl like,HOF
5476,oxygen requir today sc hear matter next week citizen tv anchor bail hear arnab got hear within day it seem import live,NONE
706,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। abe lodu iska अध्यक्ष केश भाई पटेल आरक्षण मिल रह मंदबुद्ध दल मजदूर k पैद हुव जय ब्राह्मण देव 🚩,HOF
3934,can't see sudhir bhai like 💔 dear god pls free pain 🙏🏿 finger cross hope what best countri,NONE
270,life brahmin easi rather difficult life common shudra least restrict indica arrian nd centuri ce this corrobor smriti place hundr restrict brahmin includ aggrav punish dixit welcom islam treat equal amp punish elev birth need get confus amp satisi differ god need worship one god amp follow quran amp authent teach islam,NONE
2927,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind srivatsa case say corona china hai dum sandeep it matter india creat cholera intent ever tri cover spread late intent matter lot cours defend china ccp specif good luck,NONE
5474,oxygen requir today sc hear matter next week citizen tv anchor bail hear this valid judici system countri joke onli peopl revolut clean alreadi rotten system,HOF
4316,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। good great job be continu pleas,NONE
4861,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist where our vaccin 🙄 abhi se nich ka trial hona hai apn bachch ko volunt bnayega unkil,NONE
4385,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। कान्ह जबाब दे मान,NONE
4532,look insensit piec shit,HOF
4969,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc onli congress cc gold,NONE
111,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood,HOF
1170,charli hebdo publish do stand franc saar all say yes i would say pictur tweet handl will tweet right no one play butthurt like muxlim time no one ask anyon behead it lunat,HOF
1391,modi coward psycopath psycopath बजाय उन्ह भाष मानसिक दिव्यांग जाय उन्ह अच्छ लगेगा। 😂😂😂 मानसिक दिव्यांग,HOF
3214,बि एम्बुलेंस चोर वाल भाजप चोर आजाद घूम है। चोर पर्दाफाश वाल पप्प यादव गिरफ्तार है। नीतीश सर शर्म करो। पप्प यादव तत् रिह करो। #releasepappuyadav निकम्म सर है। जन सेव कर बि दि निकाल वाल पोल खोल दे।अब कारव होगी। नह पा जेल दें। इसस ज़्याद निकम्म सर नह शर्म कर बीजेप सरकार। #releasepapuyadav,NONE
220,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood nation leader r u ur mind bsdk,HOF
1874,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona then peopl die due scarciti oxygen think even die dead bodi brought countri defam modi ji shame disclaim bhakt whose english good pleas dont read els would like,HOF
627,proud hindus take shit whole new level tera baap ka kya jaata ha,HOF
4986,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc गध ने मानव जा के उपलब्ध सबस गध कांग्रेस पार्ट ठग पार्ट,HOF
2957,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind if twitter follow indian law ban twitter india,NONE
83,amplifi support retweet no casteist misogynist shit name stand up comedi show #arrest abish math कल हमेश बहुजन नेत य़ रंग भेद जा देख बहुजन लोग मजाक उड कामेड हम बरदास्त नह बहुजन साथ पार्ट थोड़ हट के मिल आवाज उठाय i call savarn fulli support arrest anyon make casteist remark especi dalit icon,HOF
3154,doctor aur scientist se manga hai chuti se nahi baith nich pooja woooh pooja kya shot maara hai more power,HOF
790,ration countri do u agre if yes like ☝,NONE
2603,israel cancer world zionist terror biggest threat world peac bloodi barbar zionist danc dead bodi palestinian brother sister okay back zionism buri #allahuakbar insha allah alqaradaghi alghamidi tekin खुन नद बह सार दुन मानव आध सबक मुह पड़ ताल कत्ल मिड कोहराम मच दे हजार कत्ल इन्ह सांप सुंघ गलत दे खुश सब याद रख वक्त बदल वक्त बदल लेग सब i #allahuakb,HOF
461,and modi #bhakt busi drink gaumutra cover cow dung #bhakt jese mohammad camel mutra piya karta tha,HOF
5047,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist fake img,NONE
3295,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo after may there bigger photo prime minist cmo wb aadat dal lo jai shri ram 🛕🚩🌷,NONE
551,cow urin disgust camel urain good chamch #pragyathakur both foll whi justifi fool shame reapect religion,HOF
1902,pleas identifi admonish bigot bigotri deserv love forgiv it deserv utmost honesti fearless if oppos bigot tomorrow becom cm put jail wors voic freedom mind don't kind evil siddharth bhai kitni bakchodi karega siddharth sir kind give feedback short film made covid awar,NONE
5292,oxygen requir today sc hear matter next week citizen tv anchor bail hear wb tv 📺 channel expos bjp govern mismanag fiza 👍 mam presid appoint n v ramana cji effect april now game chang day come,NONE
4466,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। jese tere bhai ne delhi k janta k sath kiya tha bilkul yese hi,HOF
198,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood itna sa troll nahi jhel sakt tum log phone band krke ghar beth na chutiy,HOF
3360,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo cours modi deserv,NONE
3064,the countri desper need vaccin save live but goi busi fight twitter when vaccin avail good pal pass hesit judgment around 🙄🙄 amp btw one fight twitter gosh word peopl use 🙄🙄,NONE
402,the us govt help privat funder like direct fund state run popul control program india hundr thousand men women steril includ mani tribal lower cast women #arrestbillg vaccin bhi uski hi hai bhaiyo ingredi dekhog shock ho jayog vax lene se pehl user kya hai ye padho aluminium mercuri formaldehyd sm adenovirus strain sv caus hiv cancer,NONE
3977,can't see sudhir bhai like 💔 dear god pls free pain 🙏🏿 bsdk 😂,HOF
2771,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक vinashkal vipareedha budhi favourit sanskrit quot holi hindu scriptur nowaday seem becom favourit quot habitu modi hater but may turn vinasak person mind,NONE
5466,oxygen requir today sc hear matter next week citizen tv anchor bail hear next week,NONE
4811,just india sent assist unit state hospit strain earli pandem determin help india time need mr presid pleas releas stockpil million astrazeneca vaccin india worst affect countri remov restrict export vaccin raw materi india,NONE
5180,public fight covid pm fight elect visibl frustrat store energi nd may more frustrat news come she probabl run away danmark,HOF
5121,public fight covid pm fight elect he pracharak the fault we understand proper,HOF
650,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। googl microsoft appl delloit dell आरक्षण दिल बहुजन बस ट्वीट है। आपक कसम बाब साहब नह आपक आत्मदाह होग बहुजन समाज के नह मान चाट हैं।। ब्लॉक प्रोफेसर साब।। अर सुर इत सूस मेर प्यार हर क्रां 🙄,HOF
4589,look insensit piec shit बाबाज हम मूर्ख के अल बन,HOF
708,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। संस्थ के लोग अमानव कृत शोषण के दोष जेल भेज,HOF
5224,public fight covid pm fight elect public fight covid mamta fight public mamata lethal she might kill covid,HOF
5175,public fight covid pm fight elect bol aes rahi hai jais mamata bano ghar baithi ho,HOF
4075,india need vaccin nope india need nitrogen,NONE
5062,public fight covid pm fight elect you also differ,HOF
2617,a pictur isra terrorist tri arrest jerusalemit young man near al amoud gate #freepalestin #jerusalemfightsback #wakeupmuslimummah,NONE
4952,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist fake news fake document,NONE
1424,disrespect way possibl fuck india fuck modi #farmersprot he worst pm ever 😡 fail countri peopl he right wing fascist hate muslim sikh leader wors dog,HOF
1216,charli hebdo publish do stand franc saar yes inde he said noth wrong krde phir bsdk,HOF
4379,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। dekho,NONE
2706,do think china corona virus origin lab wuhan we suffici evid say origin lab we know trump leader usa one worst pandem respons death rate world lol jack ass,HOF
1738,ok liber anti hindu anti caa anti hindu #anticaaisantihindu,NONE
314,you ugli mind botox kilo foundat makeup hide inher ugli grotesqu cast bone how obtus #arrestmunmundu ais toh bengali ko bangali bola jata hai cast so arrest karwa de sc st just bcoz ppl dont knw well said,NONE
2495,बाप साउद के ऑक्सीजन जी बेट इज़राइल के सबकॉन्टिनेंट के पिंचर वाल एटीट्यूट मुझ मस्त लग अरब इनक मान नह तुर्क इनक बाल बराबर समझ नह झां भर खुदक औकात नह हर छोट मसल राय जोश रख उम्मीद इम्प्रेस हो पैस जकात दे देग 😂 😄😄😄😄😷😷😷😷😷,HOF
3832,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm so where mohalla clinic maulvi maata,HOF
3614,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm no apolog onli answer requir mr fakir mr fair ko jhula de jungl jaan k liy,NONE
1427,stop predict dear bot i but i never seen say good thing govt may falter area india great countri next time pls write someth good world read,NONE
3982,india need vaccin we got fake tear today quota,NONE
2592,israel cancer world zionist terror biggest threat world peac bloodi barbar zionist danc dead bodi palestinian brother sister okay back zionism buri #allahuakbar insha allah alqaradaghi alghamidi tekin #allahuakbar #allahuakbar #allahuakbar #allahuakbar,HOF
5609,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon some comment sudhirji most inc support how know inc support if someon support bjp mean support inc seem like overdos gaumutr,HOF
3333,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo vaccin modi ka photo aur death certif system waah,NONE
113,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood bro good expect gutterwood ppl #arresterandeephooda abb ja naa,NONE
960,लो कह आसाराम बाप जेल निकाल भोल मासूम 😂 आ पहुँच लोग रेपिस्ट बेल दिल केंद्र सर कह काश औरत औरत के बार सोच जिसक दुर्वयवहर,NONE
3781,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm मैम बंगाल विधानसभ चुन प्रचार फ्र वैक्स दे वाद भाजपा। वाद बि विधानसभ चुन था। केंद्र सर वैक्स खरीद कर राज् मिल निज अस्पताल बेच मनम ढंग दाम वसूल करेगी। जन के,NONE
2942,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind twitter empow mani journalist doctor profession amp even common citizen rais voic world grate they rais voic platform,NONE
1114,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai howev fresh cow dung use peopl increas immun power,NONE
4217,you may think even someon opposit ideolog help human but human human poison snake this vinod dua said atal bihari vajpaye ji die they even spare dead cheer bjp worker kill,HOF
5739,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon संकट मोचन हनुम जी आपक संकट जल्द रहेंगे।,NONE
2313,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र ab isk pais bhi khalo tum log jhuti bjp govt choro ka adda,HOF
684,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। चूतिय के बजह देश जातिवाद बढ़ मिल,HOF
2272,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र sir ji mujh aisa lagta ki corona rjd ka hissa hai isliy uska bhi dimag kharab hai laluji ke pariwarwalon ki tarah ink yahan jaldi jaldi corona ka tika pahuchaiy tab ink imun badhn ke sath sath sochn ki takat badhegi ki mai aayega toh modi he modi gujrat jayega,NONE
5518,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon बस दिन जल्द ठीक हो वापस लौट 💐 not go ayurved treatment,NONE
5195,public fight covid pm fight elect sad,NONE
1881,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona दास्त सुन रोय तबाह हमार दिल आई रोय,NONE
2526,बाप साउद के ऑक्सीजन जी बेट इज़राइल के तेर अब्ब के पिछवाड़ मोद वैक्स लग शर्म ट्रक ऑक्सीजन भेज उस उसक पत करोड़ भिखार रह हिंदुस्त जिनक घर बार देश नही😠 speak aur un crore bhikari mai se aek hai bhakt,HOF
3411,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo valid suggest plus death certif copi kept record long time this way pm ensur photo stay peopl longer,NONE
4529,cannot stop think natasha narwal she lost father couldn't see last moment still tihar jail resist genocid bill pray polit prison may allah end pain suffer more power natasha fuck pimp amp terrorist support,HOF
1634,supriya shrinat call sambit patra naali ka keeda even keeda ethic 💵💴 💶💷,NONE
4857,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist where our vaccin 🙄 तुम्हार मुंह बाबासीर सिसोद भाई वैक्स ढूंढो। बच्च आएग आयेगी।,HOF
1983,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् बख्चोद बोल दर्ज,HOF
4683,look insensit piec shit bhai serv kind sheet earn coror coror money idiot hum hai,HOF
2559,israel murdabad #indiastandswithpal inc ameen 🌹,HOF
2905,countri twitter ban china north korea iran it requir special categori neechta put india leagu netizen can't suppress execut right govern elect citizen a privat compani can't arbitr public truth general particular use monopoli this govern elect develop not play ban polit,HOF
1858,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona aaap sach doctor ho ki aais hi farji degre li hai महाफेंकूँ बेट छोट फेंक झोलाछाप फ़क़ीर बेट झोलाछाप डॉक्टर,HOF
2104,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् कुसंस्कार महिल बोल भगाय ऐस बदतमीज सभ्य नह है।,HOF
326,you ugli mind botox kilo foundat makeup hide inher ugli grotesqu cast bone how obtus #arrestmunmundu भंग शब्द भंग बन जिसक तातपर्य श्रृं भंग है। जिसक श्रृं भंग भंग है। मतलब नहीं। राज के जातिवाद जहर फैल आम लोग गुमराह कर,HOF
604,cow urin disgust camel urin wowww #pragyathakur cow camel urin disgust wtf wrong peopl #pragyathakur duffer amp disgust and peopl drink urin medicin disgust,HOF
4797,just india sent assist unit state hospit strain earli pandem determin help india time need thank much sir you ignor stupid pm campaign facist donald trump win usa elect you kept countri invidu jyada machlo nahi,NONE
1695,ok liber anti hindu but that easier option tag us anti hindu bhakt neednt logic back like peopl tag everi one fascist no logic either,HOF
3927,can't see sudhir bhai like 💔 dear god pls free pain 🙏🏿 aameen,NONE
2373,wtf nonsens go countri lie bad be honest girl want,NONE
3574,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm modi se maafi kyo maangi modi protocol ka havala deke khud ki naakaami chupaana chahata tha desh ko maalum toh padna chahaiy ki kisn yeh blunder kiya hain kon jimmedar hain ak ne achha kiya meet ko live kiya kaayed se istifa maang na chahaiy modi se desh ko maloom padna chaahiyr ki punjab mein dang karwak apni gov banana chaahta tha ye kejuruddin aaj tax ke paiso se advertis karta hai ek bhi ocyg ka plant nahi laga sakta,HOF
4962,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc u caught red hand,NONE
3819,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm no broadcast allow god mod failur,NONE
2865,twitter new east india compani pretend defend us nativ elect govt sell us largest bidder it law it decid law follow defi amp law made in short twitter decid india ru then hell indian govern whi #bantwitterinindia it mean if #twitter east india compani current govern #mughal empir #bantwitt #twitterbaninindia #twitterindia,HOF
